cluster_2	new_type	feature	cluster	type
9	Unknown	provides the required knowledge	6	knowledge
9	Unknown	the workload required knowledge	6	knowledge
9	Unknown	presentations as required knowledge	6	knowledge
9	Unknown	required computer literacy knowledge	6	knowledge
9	Unknown	required develop advanced knowledge	6	knowledge
9	Unknown	required knowledge and skillsdesired	6	knowledge
9	Unknown	experience required knowledge	6	knowledge
9	Unknown	existing customers requirements knowledge	6	knowledge
9	Unknown	exchanges requiring working knowledge	6	knowledge
9	Unknown	required other requirements knowledge	6	knowledge
9	Unknown	skills knowledge required	6	knowledge
9	Unknown	requirements knowledge of ip	6	knowledge
9	Unknown	requires previous working knowledge	6	knowledge
9	Unknown	requires extensive knowledge	6	knowledge
9	Unknown	requirements knowledge of medicare	6	knowledge
9	Unknown	requires knowledge of multiple	6	knowledge
9	Unknown	requires knowledge of	6	knowledge
9	Unknown	requires knowledge	6	knowledge
9	Unknown	requires in depth knowledge	6	knowledge
9	Unknown	requires extensive knowledge and	6	knowledge
9	Unknown	requirements working knowledge of	6	knowledge
9	Unknown	requirements working knowledge	6	knowledge
9	Unknown	organization skills knowledge required	6	knowledge
9	Unknown	other requirements knowledge of	6	knowledge
9	Unknown	other requirements knowledge	6	knowledge
9	Unknown	passport requirements desired knowledge	6	knowledge
9	Unknown	requiring working knowledge of	6	knowledge
9	Unknown	requiring working knowledge	6	knowledge
9	Unknown	required knowledge of ms	6	knowledge
9	Unknown	strong computer knowledge required	6	knowledge
9	Unknown	required knowledge of argus	6	knowledge
9	Unknown	required knowledge of retirement	6	knowledge
9	Unknown	required strong computer knowledge	6	knowledge
9	Unknown	requirements desired knowledge	6	knowledge
9	Unknown	requirements desired knowledge skills	6	knowledge
9	Unknown	skill and knowledge requirements	6	knowledge
9	Unknown	or ged required knowledge	6	knowledge
9	Unknown	skills knowledge required bs	6	knowledge
9	Unknown	as required knowledge of	6	knowledge
9	Unknown	diploma required specialized knowledge	6	knowledge
9	Unknown	but not required knowledge	6	knowledge
9	Unknown	knowledge requirements we	6	knowledge
9	Unknown	knowledge requirements	6	knowledge
9	Unknown	knowledge skill set requires	6	knowledge
9	Unknown	knowledge required light programming	6	knowledge
9	Unknown	knowledge required light	6	knowledge
9	Unknown	knowledge required current forklift	6	knowledge
9	Unknown	position requirements working knowledge	6	knowledge
9	Unknown	ged required knowledge	6	knowledge
9	Unknown	requirements knowledge of	6	knowledge
9	Unknown	requirements knowledge skills	6	knowledge
9	Unknown	requires pc knowledge	6	knowledge
9	Unknown	written required knowledge	6	knowledge
9	Unknown	required knowledge and experience	6	knowledge
9	Unknown	written required knowledge and	6	knowledge
9	Unknown	required knowledge skills and	6	knowledge
9	Unknown	required minimum qualifications knowledge	6	knowledge
9	Unknown	the required knowledge	6	knowledge
9	Unknown	requires pc knowledge and	6	knowledge
9	Unknown	position requires pc knowledge	6	knowledge
9	Unknown	and written required knowledge	6	knowledge
9	Unknown	ged required knowledge skills	6	knowledge
9	Unknown	the required knowledge skills	6	knowledge
9	Unknown	community required skills knowledge	6	knowledge
9	Unknown	considered required skills knowledge	6	knowledge
9	Unknown	knowledge requirements we seek	6	knowledge
9	Unknown	as required knowledge	6	knowledge
9	Unknown	knowledge required the	6	knowledge
9	Unknown	skills required knowledgeable to	6	knowledge
9	Unknown	customers requirements knowledge of	6	knowledge
9	Unknown	knowledge areas is required	6	knowledge
9	Unknown	required knowledge skills	6	knowledge
9	Unknown	requirements knowledge	6	knowledge
9	Unknown	required specialized knowledge and	6	knowledge
9	Unknown	required skills knowledge of	6	knowledge
9	Unknown	knowledge and skills requirements	6	knowledge
9	Unknown	required knowledge and	6	knowledge
9	Unknown	required specialized knowledge	6	knowledge
9	Unknown	required skills knowledge	6	knowledge
9	Unknown	required knowledge of	6	knowledge
9	Unknown	skills required knowledgeable	6	knowledge
9	Unknown	experience knowledge required	6	knowledge
9	Unknown	knowledge required current	6	knowledge
9	Unknown	knowledge required	6	knowledge
9	Unknown	experience required specialized knowledge	6	knowledge
9	Unknown	knowledge required bs	6	knowledge
9	Unknown	knowledge required bs ba	6	knowledge
9	Unknown	customers requirements knowledge	6	knowledge
9	Unknown	computer knowledge required	6	knowledge
9	Unknown	computer knowledge required light	6	knowledge
9	Unknown	required the knowledge	6	knowledge
9	Unknown	required knowledge	6	knowledge
8	Unknown	applied knowledge of consulting	6	knowledge
8	Unknown	to apply this knowledge	6	knowledge
8	Unknown	responsibility applies knowledge of	6	knowledge
8	Unknown	in applied knowledge of	6	knowledge
8	Unknown	applies knowledge of retail	6	knowledge
8	Unknown	applies knowledge or skill	6	knowledge
8	Unknown	knowledge maintaining and applying	6	knowledge
8	Unknown	applies knowledge or	6	knowledge
8	Unknown	gains applies knowledge	6	knowledge
8	Unknown	gains applies knowledge or	6	knowledge
8	Unknown	results gains applies knowledge	6	knowledge
8	Unknown	knowledge in applying the	6	knowledge
8	Unknown	specialist knowledge in applying	6	knowledge
8	Unknown	to apply knowledge	6	knowledge
8	Unknown	to apply knowledge learned	6	knowledge
8	Unknown	opportunities to apply knowledge	6	knowledge
8	Unknown	knowledge in applying	6	knowledge
8	Unknown	knowledge and apply	6	knowledge
8	Unknown	knowledge and apply that	6	knowledge
